field_110626_a,resourceDomain,0,
field_110737_b,particleTextures,0,
field_110778_a,shadowTextures,0,
field_110922_T,locationLightMap,0,
field_110923_r,locationSnowPng,0,
field_110924_q,locationRainPng,0,
field_110925_j,locationCloudsPng,0,
field_110926_k,locationEndSkyPng,0,
field_110927_h,locationMoonPhasesPng,0,
field_110928_i,locationSunPng,0,
field_110929_d,RES_UNDERWATER_OVERLAY,0,
field_110930_b,RES_ITEM_GLINT,0,
field_110931_c,RES_MAP_BACKGROUND,0,
field_110973_g,frameCounter,0,
field_110974_d,originY,0,
field_110975_c,originX,0,
field_110976_a,framesTextureData,0,
field_110977_n,minV,0,
field_110978_o,maxV,0,
field_110979_l,minU,0,
field_110980_m,maxU,0,
field_110982_k,animationMetadata,0,
field_110983_h,tickCounter,0,
field_110984_i,iconName,0,
field_110999_b,missingTextureData,0,
field_111000_c,dataBuffer,0,
field_111001_a,missingTexture,0,
field_111053_a,numericVariablePattern,0,"Pattern that matches numeric variable placeholders in a resource string, such as ""%d"", ""%3$d"", ""%.2f"""
field_111113_b,defaultValue,0,
field_111114_c,shouldWatch,0,
field_111115_a,unlocalizedName,0,
field_111132_f,baseValue,0,
field_111133_g,needsUpdate,0,
field_111134_d,mapByName,0,
field_111135_e,mapByUUID,0,
field_111136_b,genericAttribute,0,The Attribute this is an instance of
field_111137_c,mapByOperation,0,
field_111138_a,attributeMap,0,The BaseAttributeMap this attributeInstance can be found in
field_111139_h,cachedValue,0,
field_111153_b,attributesByName,0,
field_111154_a,attributes,0,
field_111170_d,id,0,
field_111171_e,isSaved,0,"If false, this modifier is not saved in NBT. Used for ""natural"" modifiers like speed boost from sprinting"
field_111172_b,operation,0,
field_111173_c,name,0,
field_111174_a,amount,0,
field_111192_g,previousTotalWorldTime,0,time what is using to check if InhabitedTime should be calculated
field_111193_e,playerInstanceList,0,This field is using when chunk should be processed (every 8000 ticks)
field_111198_g,previousWorldTime,0,time what is using when chunk InhabitedTime is being calculated
field_111203_a,moonPhaseFactors,0,
field_111204_q,inhabitedTime,0,the cumulative number of ticks players have been in this chunk
field_111218_cA,iconString,0,The string associated with this Item's Icon.
field_111263_d,movementSpeed,0,
field_111264_e,attackDamage,0,
field_111265_b,followRange,0,
field_111266_c,knockbackResistance,0,
field_111267_a,maxHealth,0,
field_111273_g,locationFontTexture,0,
field_111274_c,unicodePageLocations,0,
field_130070_K,fileResourcepacks,0,
field_130074_a,joinerResourcePacks,0,
field_130089_b,mapResourceLocations,0,
field_130222_e,rotated,0,
field_130223_c,width,0,
field_130224_d,height,0,
field_135017_as,mcLanguageManager,0,
field_135019_a,languages,0,
field_135030_b,splitter,0,"Splits on ""="""
field_135036_d,bidirectional,0,
field_135037_b,region,0,
field_135038_c,name,0,
field_135039_a,languageCode,0,
field_135046_d,languageMap,0,
field_135047_b,theMetadataSerializer,0,
field_135048_c,currentLanguage,0,
field_135049_a,currentLocale,0,
field_135054_a,i18nLocale,0,
field_135057_d,setResourceDomains,0,
field_135065_b,equalSignSplitter,0,"A Splitter that splits a string on the first ""="".  For example, ""a=b=c"" would split into [""a"", ""b=c""]."
field_142025_a,isRunningOnMac,0,
field_145846_f,tileEntityInvalid,0,
field_145847_g,blockMetadata,0,
field_145850_b,tileEntityWorld,0,gets the world object
field_145852_a,logger,0,
field_145853_j,classToNameMap,0,A HashMap storing the classes and mapping to the string names (reverse of nameToClassMap).
field_145854_h,blockType,0,the Block type that this TileEntity is contained within
field_145855_i,nameToClassMap,0,A HashMap storing string names of classes mapping to the actual java.lang.Class type.
field_147123_G,logger,0,
field_147124_at,framebufferMc,0,
field_147125_j,pointedEntity,0,
field_147126_aw,mcMusicTicker,0,
field_147127_av,mcSoundHandler,0,
field_147128_au,textureMapBlocks,0,
field_147129_ai,jvm64bit,0,
field_147145_h,logger,0,
field_147150_a,logger,0,
field_147166_l,categoryName,0,
field_147167_m,categoryId,0,
field_147175_a,logger,0,
field_147228_b,logger,0,
field_147301_d,logger,0,
field_147332_c,logger,0,
field_147370_c,logger,0,
field_147396_a,logger,0,
field_147415_a,logger,0,
field_147417_b,logger,0,
field_147436_a,logger,0,
field_147552_d,staticPlayerZ,0,
field_147554_b,staticPlayerX,0,
field_147555_c,staticPlayerY,0,
field_147556_a,instance,0,
field_147559_m,mapSpecialRenderers,0,
field_147566_d,floatBuffer,0,"The same memory as byteBuffer, but referenced as an float buffer."
field_147567_e,shortBuffer,0,"The same memory as byteBuffer, but referenced as an short buffer."
field_147568_c,intBuffer,0,"The same memory as byteBuffer, but referenced as an integer buffer."
field_147569_p,rawBufferIndex,0,The index into the raw buffer to be used for the next data.
field_147577_f,hasNormals,0,
field_147578_g,hasColor,0,
field_147579_d,hasTexture,0,
field_147580_e,hasBrightness,0,
field_147581_b,rawBufferIndex,0,
field_147582_c,vertexCount,0,
field_147583_a,rawBuffer,0,
field_147592_B,renderBlocksRg,0,
field_147593_P,mapSoundPositions,0,
field_147594_S,displayListEntities,0,
field_147595_R,displayListEntitiesDirty,0,
field_147596_f,prevRenderSortX,0,
field_147597_g,prevRenderSortY,0,
field_147598_a,tileEntities,0,
field_147599_m,logger,0,
field_147600_j,prevChunkSortY,0,
field_147601_k,prevChunkSortZ,0,
field_147602_h,prevRenderSortZ,0,
field_147603_i,prevChunkSortX,0,
field_147616_f,framebufferObject,0,
field_147617_g,framebufferTexture,0,
field_147618_d,framebufferHeight,0,
field_147619_e,useDepth,0,
field_147620_b,framebufferTextureHeight,0,
field_147621_c,framebufferWidth,0,
field_147622_a,framebufferTextureWidth,0,
field_147623_j,framebufferFilter,0,
field_147624_h,depthBuffer,0,
field_147625_i,framebufferColor,0,
field_147646_a,logger,0,
field_147648_b,logger,0,
field_147698_b,logger,0,
field_147707_d,theShaderGroup,0,
field_147708_e,shaderCount,0,
field_147709_v,theMapItemRenderer,0,
field_147710_q,logger,0,
field_147711_ac,resourceManager,0,
field_147712_ad,shaderResourceLocations,0,
field_147713_ae,shaderIndex,0,
field_147719_a,instance,0,
field_147720_h,renderBlocksIr,0,
field_147810_D,aoLightValueScratchXYPN,0,
field_147811_E,aoLightValueScratchXYZPNP,0,
field_147812_F,aoLightValueScratchXYZNPN,0,
field_147813_G,aoLightValueScratchXYNP,0,
field_147814_A,aoLightValueScratchYZNN,0,
field_147815_B,aoLightValueScratchYZNP,0,
field_147816_C,aoLightValueScratchXYZPNN,0,
field_147817_L,aoLightValueScratchYZPP,0,
field_147818_M,aoLightValueScratchXYZPPP,0,
field_147819_N,aoLightValueScratchXZNN,0,
field_147820_O,aoLightValueScratchXZPN,0,
field_147821_H,aoLightValueScratchXYZNPP,0,
field_147822_I,aoLightValueScratchYZPN,0,
field_147823_J,aoLightValueScratchXYZPPN,0,
field_147824_K,aoLightValueScratchXYPP,0,
field_147825_U,aoBrightnessYZNN,0,
field_147826_T,aoBrightnessXYZNNP,0,
field_147827_W,aoBrightnessXYZPNN,0,
field_147828_V,aoBrightnessYZNP,0,
field_147829_Q,aoLightValueScratchXZPP,0,
field_147830_P,aoLightValueScratchXZNP,0,
field_147831_S,aoBrightnessXYNN,0,
field_147832_R,aoBrightnessXYZNNN,0,
field_147833_aA,colorBlueTopRight,0,
field_147834_Y,aoBrightnessXYZPNP,0,
field_147835_X,aoBrightnessXYPN,0,
field_147836_Z,aoBrightnessXYZNPN,0,
field_147837_f,renderAllFaces,0,
field_147838_g,renderFromInside,0,
field_147839_az,colorBlueBottomRight,0,
field_147840_d,overrideBlockTexture,0,
field_147841_ay,colorBlueBottomLeft,0,
field_147842_e,flipTexture,0,Set to true if the texture should be flipped horizontally during render*Face
field_147843_b,fancyGrass,0,
field_147844_c,useInventoryTint,0,
field_147845_a,blockAccess,0,The IBlockAccess used by this instance of RenderBlocks
field_147846_at,colorGreenTopLeft,0,
field_147847_n,lockBlockBounds,0,
field_147848_as,colorRedTopRight,0,
field_147849_o,partialRenderBounds,0,
field_147850_ar,colorRedBottomRight,0,
field_147851_l,renderMinZ,0,The minimum Z value for rendering (default 0.0).
field_147852_aq,colorRedBottomLeft,0,
field_147853_m,renderMaxZ,0,The maximum Z value for rendering (default 1.0).
field_147854_ax,colorBlueTopLeft,0,
field_147855_j,renderMinY,0,The minimum Y value for rendering (default 0.0).
field_147856_aw,colorGreenTopRight,0,
field_147857_k,renderMaxY,0,The maximum Y value for rendering (default 1.0).
field_147858_av,colorGreenBottomRight,0,
field_147859_h,renderMinX,0,The minimum X value for rendering (default 0.0).
field_147860_au,colorGreenBottomLeft,0,
field_147861_i,renderMaxX,0,The maximum X value for rendering (default 1.0).
field_147862_ak,aoBrightnessXZPP,0,
field_147863_w,enableAO,0,
field_147864_al,brightnessTopLeft,0,
field_147865_v,uvRotateBottom,0,
field_147866_ai,aoBrightnessXZPN,0,
field_147867_u,uvRotateTop,0,
field_147868_aj,aoBrightnessXZNP,0,
field_147869_t,uvRotateNorth,0,
field_147870_ao,brightnessTopRight,0,
field_147871_s,uvRotateSouth,0,
field_147872_ap,colorRedTopLeft,0,
field_147873_r,uvRotateWest,0,
field_147874_am,brightnessBottomLeft,0,
field_147875_q,uvRotateEast,0,
field_147876_an,brightnessBottomRight,0,
field_147877_p,minecraftRB,0,
field_147878_ac,aoBrightnessYZPN,0,
field_147879_ad,aoBrightnessXYZPPN,0,
field_147880_aa,aoBrightnessXYNP,0,
field_147881_ab,aoBrightnessXYZNPP,0,
field_147882_ag,aoBrightnessXYZPPP,0,
field_147883_ah,aoBrightnessXZNN,0,
field_147884_z,aoLightValueScratchXYZNNP,0,
field_147885_ae,aoBrightnessXYPP,0,
field_147886_y,aoLightValueScratchXYNN,0,
field_147887_af,aoBrightnessYZPP,0,
field_147888_x,aoLightValueScratchXYZNNN,0,
field_147893_C,tileEntities,0,
field_147894_y,vertexState,0,
field_147895_x,tileEntityRenderers,0,
field_147959_c,logger,0,
field_147967_a,logger,0,
field_147968_d,mipmapLevelHolder,0,
field_147971_a,mipmapLevelStitcher,0,
field_148001_b,defaultShaderUniform,0,
field_148002_c,staticShaderManager,0,
field_148003_a,smLogger,0,
field_148029_f,listFramebuffers,0,
field_148030_g,projectionMatrix,0,
field_148031_d,listShaders,0,
field_148032_e,mapFramebuffers,0,
field_148033_b,resourceManager,0,
field_148034_c,shaderGroupName,0,
field_148035_a,mainFramebuffer,0,
field_148038_h,mainFramebufferWidth,0,
field_148039_i,mainFramebufferHeight,0,
field_148046_f,listAuxWidths,0,
field_148047_g,listAuxHeights,0,
field_148048_d,listAuxFramebuffers,0,
field_148049_e,listAuxNames,0,
field_148050_b,framebufferOut,0,
field_148051_c,manager,0,
field_148052_a,framebufferIn,0,
field_148053_h,projectionMatrix,0,
field_148079_b,staticShaderLinkHelper,0,
field_148080_a,logger,0,
field_148104_a,logger,0,
field_148261_a,logger,0,
field_148270_M,valueStep,0,
field_148271_N,valueMin,0,
field_148272_O,valueMax,0,
field_148304_a,logger,0,
field_148336_b,rand,0,
field_148337_c,namePartsArray,0,
field_148338_a,instance,0,
field_148490_a,logger,0,
field_148546_d,logger,0,
field_148550_b,logger,0,
field_148621_b,logger,0,
field_148657_b,logger,0,
field_148743_a,logger,0,
field_148797_a,theBackupList,0,
field_148823_f,framebufferSupported,0,
field_148824_g,shadersSupported,0,
field_148825_d,anisotropicFilteringSupported,0,
field_148826_e,anisotropicFilteringMax,0,
field_148827_a,openGL21,0,
field_148828_i,openGL14,0,
field_148841_a,logger,0,
field_149758_A,isBlockContainer,0,true if the Block contains a Tile Entity
field_149761_L,blockIcon,0,
field_149762_H,stepSound,0,Sound of stepping on the block
field_149763_I,blockParticleGravity,0,
field_149764_J,blockMaterial,0,
field_149765_K,slipperiness,0,Determines how much velocity is maintained while moving on top of this block
field_149766_f,soundTypeWood,0,the wood sound type
field_149767_g,soundTypeGravel,0,the gravel sound type
field_149768_d,textureName,0,
field_149769_e,soundTypeStone,0,
field_149771_c,blockRegistry,0,
field_149772_a,displayOnCreativeTab,0,
field_149779_h,soundGrassFootstep,0,
field_149781_w,blockResistance,0,
field_149782_v,blockHardness,0,Indicates how many hits it takes to break a block.
field_149784_t,lightValue,0,Amount of light emitted
field_149785_s,canBlockGrass,0,
field_149786_r,lightOpacity,0,How much light is subtracted for going through this block
field_149787_q,opaque,0,
field_149789_z,needsRandomTick,0,Flags whether or not this block is of a type that needs random ticking. Ref-counted by ExtendedBlockStorage in order to broadly cull a chunk from the random chunk update list for efficiency's sake.
field_149790_y,enableStats,0,
field_150243_f,strikethrough,0,
field_150244_g,obfuscated,0,
field_150245_d,italic,0,
field_150246_e,underlined,0,
field_150247_b,color,0,
field_150248_c,bold,0,
field_150249_a,parentStyle,0,The parent of this ChatStyle.  Used for looking up values that this instance does not override.
field_150250_j,rootStyle,0,The base of the ChatStyle hierarchy.  All ChatStyle instances are implicitly children of this.
field_150251_h,chatClickEvent,0,
field_150252_i,chatHoverEvent,0,
field_150263_b,style,0,
field_150264_a,siblings,0,"The later siblings of this component.  If this component turns the text bold, that will apply to all the siblings until a later sibling turns the text something else."
field_150317_a,logger,0,
field_150318_D,golden_rail,0,
field_150319_E,detector_rail,0,
field_150320_F,sticky_piston,0,
field_150321_G,web,0,
field_150322_A,sandstone,0,
field_150323_B,noteblock,0,
field_150324_C,bed,0,
field_150325_L,wool,0,
field_150326_M,piston_extension,0,
field_150327_N,yellow_flower,0,
field_150328_O,red_flower,0,
field_150329_H,tallgrass,0,
field_150330_I,deadbush,0,
field_150331_J,piston,0,
field_150332_K,piston_head,0,
field_150333_U,stone_slab,0,
field_150334_T,double_stone_slab,0,
field_150335_W,tnt,0,
field_150336_V,brick_block,0,
field_150337_Q,red_mushroom,0,
field_150338_P,brown_mushroom,0,
field_150339_S,iron_block,0,
field_150340_R,gold_block,0,
field_150341_Y,mossy_cobblestone,0,
field_150342_X,bookshelf,0,
field_150343_Z,obsidian,0,
field_150344_f,planks,0,
field_150345_g,sapling,0,
field_150346_d,dirt,0,
field_150347_e,cobblestone,0,
field_150348_b,stone,0,
field_150349_c,grass,0,
field_150350_a,air,0,
field_150351_n,gravel,0,
field_150352_o,gold_ore,0,
field_150353_l,lava,0,
field_150354_m,sand,0,
field_150355_j,water,0,
field_150356_k,flowing_lava,0,
field_150357_h,bedrock,0,
field_150358_i,flowing_water,0,
field_150359_w,glass,0,
field_150360_v,sponge,0,
field_150361_u,leaves2,0,
field_150362_t,leaves,0,
field_150363_s,log2,0,
field_150364_r,log,0,
field_150365_q,coal_ore,0,
field_150366_p,iron_ore,0,
field_150367_z,dispenser,0,
field_150368_y,lapis_block,0,
field_150369_x,lapis_ore,0,
field_150370_cb,quartz_stairs,0,
field_150371_ca,quartz_block,0,
field_150372_bz,sandstone_stairs,0,
field_150373_bw,double_wooden_slab,0,
field_150374_bv,lit_redstone_lamp,0,
field_150375_by,cocoa,0,
field_150376_bx,wooden_slab,0,
field_150377_bs,end_stone,0,
field_150378_br,end_portal_frame,0,
field_150379_bu,redstone_lamp,0,
field_150380_bt,dragon_egg,0,
field_150381_bn,enchanting_table,0,
field_150382_bo,brewing_stand,0,
field_150383_bp,cauldron,0,
field_150384_bq,end_portal,0,
field_150385_bj,nether_brick,0,
field_150386_bk,nether_brick_fence,0,
field_150387_bl,nether_brick_stairs,0,
field_150388_bm,nether_wart,0,
field_150389_bf,brick_stairs,0,
field_150390_bg,stone_brick_stairs,0,
field_150391_bh,mycelium,0,
field_150392_bi,waterlily,0,
field_150393_bb,pumpkin_stem,0,
field_150394_bc,melon_stem,0,
field_150395_bd,vine,0,
field_150396_be,fence_gate,0,
field_150397_co,stained_glass_pane,0,
field_150398_cm,double_plant,0,
field_150399_cn,stained_glass,0,
field_150400_ck,acacia_stairs,0,
field_150401_cl,dark_oak_stairs,0,
field_150402_ci,coal_block,0,
field_150403_cj,packed_ice,0,
field_150404_cg,carpet,0,
field_150405_ch,hardened_clay,0,
field_150406_ce,stained_hardened_clay,0,
field_150407_cf,hay_block,0,
field_150408_cc,activator_rail,0,
field_150409_cd,dropper,0,
field_150410_aZ,glass_pane,0,
field_150411_aY,iron_bars,0,
field_150412_bA,emerald_ore,0,
field_150413_aR,unpowered_repeater,0,
field_150414_aQ,cake,0,
field_150415_aT,trapdoor,0,
field_150416_aS,powered_repeater,0,
field_150417_aV,stonebrick,0,
field_150418_aU,monster_egg,0,
field_150419_aX,red_mushroom_block,0,
field_150420_aW,brown_mushroom_block,0,
field_150421_aI,jukebox,0,
field_150422_aJ,fence,0,
field_150423_aK,pumpkin,0,
field_150424_aL,netherrack,0,
field_150425_aM,soul_sand,0,
field_150426_aN,glowstone,0,
field_150427_aO,portal,0,
field_150428_aP,lit_pumpkin,0,
field_150429_aA,redstone_torch,0,
field_150430_aB,stone_button,0,
field_150431_aC,snow_layer,0,
field_150432_aD,ice,0,
field_150433_aE,snow,0,
field_150434_aF,cactus,0,
field_150435_aG,clay,0,
field_150436_aH,reeds,0,
field_150437_az,unlit_redstone_torch,0,
field_150438_bZ,hopper,0,
field_150439_ay,lit_redstone_ore,0,
field_150440_ba,melon_block,0,
field_150441_bU,unpowered_comparator,0,
field_150442_at,lever,0,
field_150443_bT,heavy_weighted_pressure_plate,0,
field_150444_as,wall_sign,0,
field_150445_bS,light_weighted_pressure_plate,0,
field_150446_ar,stone_stairs,0,
field_150447_bR,trapped_chest,0,
field_150448_aq,rail,0,
field_150449_bY,quartz_ore,0,
field_150450_ax,redstone_ore,0,
field_150451_bX,redstone_block,0,
field_150452_aw,wooden_pressure_plate,0,
field_150453_bW,daylight_detector,0,
field_150454_av,iron_door,0,
field_150455_bV,powered_comparator,0,
field_150456_au,stone_pressure_plate,0,
field_150457_bL,flower_pot,0,
field_150458_ak,farmland,0,
field_150459_bM,carrots,0,
field_150460_al,furnace,0,
field_150461_bJ,beacon,0,
field_150462_ai,crafting_table,0,
field_150463_bK,cobblestone_wall,0,
field_150464_aj,wheat,0,
field_150465_bP,skull,0,
field_150466_ao,wooden_door,0,
field_150467_bQ,anvil,0,
field_150468_ap,ladder,0,
field_150469_bN,potatoes,0,
field_150470_am,lit_furnace,0,
field_150471_bO,wooden_button,0,
field_150472_an,standing_sign,0,
field_150473_bD,tripwire,0,
field_150474_ac,mob_spawner,0,
field_150475_bE,emerald_block,0,
field_150476_ad,oak_stairs,0,
field_150477_bB,ender_chest,0,
field_150478_aa,torch,0,
field_150479_bC,tripwire_hook,0,
field_150480_ab,fire,0,
field_150481_bH,jungle_stairs,0,
field_150482_ag,diamond_ore,0,
field_150483_bI,command_block,0,
field_150484_ah,diamond_block,0,
field_150485_bF,spruce_stairs,0,
field_150486_ae,chest,0,
field_150487_bG,birch_stairs,0,
field_150488_af,redstone_wire,0,
field_150511_e,lastUpdateTimeInMilliseconds,0,"The time, in milliseconds since epoch, that this instance was last updated"
field_150586_aC,logger,0,
field_150670_b,value,0,
field_150671_a,action,0,
field_150676_f,allowedInChat,0,
field_150677_g,canonicalName,0,The canonical name used to refer to this action.
field_150679_e,nameMapping,0,
field_150688_f,canonicalName,0,
field_150690_d,nameMapping,0,
field_150691_e,allowedInChat,0,
field_150703_b,value,0,
field_150704_a,action,0,
field_150734_f,eventLoops,0,
field_150735_g,logger,0,
field_150736_d,attrKeyReceivable,0,
field_150737_e,attrKeySendable,0,
field_150738_b,logMarkerPackets,0,
field_150739_c,attrKeyConnectionState,0,
field_150740_a,logMarkerNetwork,0,
field_150741_n,connectionState,0,"The current connection state, being one of: HANDSHAKING, PLAY, STATUS, LOGIN"
field_150742_o,terminationReason,0,A String indicating why the network has shutdown.
field_150743_l,socketAddress,0,The address of the remote party
field_150744_m,netHandler,0,The INetHandler instance responsible for processing received packets
field_150745_j,outboundPacketsQueue,0,The queue for packets that require transmission
field_150746_k,channel,0,The active channel
field_150747_h,isClientSide,0,Whether this NetworkManager deals with the client or server side of the connection
field_150748_i,receivedPacketsQueue,0,"The queue for received, unprioritized packets that will be processed at the earliest opportunity"
field_150798_a,logger,0,
field_150800_a,logger,0,
field_150814_l,isLightPopulated,0,
field_150817_t,logger,0,
field_150828_b,fallbackTranslator,0,A StringTranslate instance using the hardcoded default locale (en_US).  Used as a fallback in case the shared StringTranslate singleton instance fails to translate a key.
field_150901_e,itemRegistry,0,
field_151004_a,underlyingSet,0,The set for this ForwardingSet to forward methods to.
field_151005_D,golden_pickaxe,0,
field_151006_E,golden_axe,0,
field_151007_F,string,0,
field_151008_G,feather,0,
field_151009_A,mushroom_stew,0,
field_151010_B,golden_sword,0,
field_151011_C,golden_shovel,0,
field_151012_L,diamond_hoe,0,
field_151013_M,golden_hoe,0,
field_151014_N,wheat_seeds,0,
field_151015_O,wheat,0,
field_151016_H,gunpowder,0,
field_151017_I,wooden_hoe,0,
field_151018_J,stone_hoe,0,
field_151019_K,iron_hoe,0,
field_151020_U,chainmail_helmet,0,
field_151021_T,leather_boots,0,
field_151022_W,chainmail_leggings,0,
field_151023_V,chainmail_chestplate,0,
field_151024_Q,leather_helmet,0,
field_151025_P,bread,0,
field_151026_S,leather_leggings,0,
field_151027_R,leather_chestplate,0,
field_151028_Y,iron_helmet,0,
field_151029_X,chainmail_boots,0,
field_151030_Z,iron_chestplate,0,
field_151031_f,bow,0,
field_151032_g,arrow,0,
field_151033_d,flint_and_steel,0,
field_151034_e,apple,0,
field_151035_b,iron_pickaxe,0,
field_151036_c,iron_axe,0,
field_151037_a,iron_shovel,0,
field_151038_n,wooden_shovel,0,
field_151039_o,wooden_pickaxe,0,
field_151040_l,iron_sword,0,
field_151041_m,wooden_sword,0,
field_151042_j,iron_ingot,0,
field_151043_k,gold_ingot,0,
field_151044_h,coal,0,
field_151045_i,diamond,0,
field_151046_w,diamond_pickaxe,0,
field_151047_v,diamond_shovel,0,
field_151048_u,diamond_sword,0,
field_151049_t,stone_axe,0,
field_151050_s,stone_pickaxe,0,
field_151051_r,stone_shovel,0,
field_151052_q,stone_sword,0,
field_151053_p,wooden_axe,0,
field_151054_z,bowl,0,
field_151055_y,stick,0,
field_151056_x,diamond_axe,0,
field_151057_cb,name_tag,0,
field_151058_ca,lead,0,
field_151059_bz,fire_charge,0,
field_151060_bw,speckled_melon,0,
field_151061_bv,ender_eye,0,
field_151062_by,experience_bottle,0,
field_151063_bx,spawn_egg,0,
field_151064_bs,magma_cream,0,
field_151065_br,blaze_powder,0,
field_151066_bu,cauldron,0,
field_151067_bt,brewing_stand,0,
field_151068_bn,potionitem,0,
field_151069_bo,glass_bottle,0,
field_151070_bp,spider_eye,0,
field_151071_bq,fermented_spider_eye,0,
field_151072_bj,blaze_rod,0,
field_151073_bk,ghast_tear,0,
field_151074_bl,gold_nugget,0,
field_151075_bm,nether_wart,0,
field_151076_bf,chicken,0,
field_151077_bg,cooked_chicken,0,
field_151078_bh,rotten_flesh,0,
field_151079_bi,ender_pearl,0,
field_151080_bb,pumpkin_seeds,0,
field_151081_bc,melon_seeds,0,
field_151082_bd,beef,0,
field_151083_be,cooked_beef,0,
field_151084_co,record_wait,0,
field_151085_cm,record_ward,0,
field_151086_cn,record_11,0,
field_151087_ck,record_stal,0,
field_151088_cl,record_strad,0,
field_151089_ci,record_mall,0,
field_151090_cj,record_mellohi,0,
field_151091_cg,record_chirp,0,
field_151092_ch,record_far,0,
field_151093_ce,record_cat,0,
field_151094_cf,record_blocks,0,
field_151095_cc,command_block_minecart,0,
field_151096_cd,record_13,0,
field_151097_aZ,shears,0,
field_151098_aY,filled_map,0,
field_151099_bA,writable_book,0,
field_151100_aR,dye,0,
field_151101_aQ,cooked_fished,0,
field_151102_aT,sugar,0,
field_151103_aS,bone,0,
field_151104_aV,bed,0,
field_151105_aU,cake,0,
field_151106_aX,cookie,0,
field_151107_aW,repeater,0,
field_151108_aI,chest_minecart,0,
field_151109_aJ,furnace_minecart,0,
field_151110_aK,egg,0,
field_151111_aL,compass,0,
field_151112_aM,fishing_rod,0,
field_151113_aN,clock,0,
field_151114_aO,glowstone_dust,0,
field_151115_aP,fish,0,
field_151116_aA,leather,0,
field_151117_aB,milk_bucket,0,
field_151118_aC,brick,0,
field_151119_aD,clay_ball,0,
field_151120_aE,reeds,0,
field_151121_aF,paper,0,
field_151122_aG,book,0,
field_151123_aH,slime_ball,0,
field_151124_az,boat,0,
field_151125_bZ,diamond_horse_armor,0,
field_151126_ay,snowball,0,
field_151127_ba,melon,0,
field_151128_bU,quartz,0,
field_151129_at,lava_bucket,0,
field_151130_bT,netherbrick,0,
field_151131_as,water_bucket,0,
field_151132_bS,comparator,0,
field_151133_ar,bucket,0,
field_151134_bR,enchanted_book,0,
field_151135_aq,wooden_door,0,
field_151136_bY,golden_horse_armor,0,
field_151137_ax,redstone,0,
field_151138_bX,iron_horse_armor,0,
field_151139_aw,iron_door,0,
field_151140_bW,hopper_minecart,0,
field_151141_av,saddle,0,
field_151142_bV,tnt_minecart,0,
field_151143_au,minecart,0,
field_151144_bL,skull,0,
field_151145_ak,flint,0,
field_151146_bM,carrot_on_a_stick,0,
field_151147_al,porkchop,0,
field_151148_bJ,map,0,
field_151149_ai,golden_leggings,0,
field_151150_bK,golden_carrot,0,
field_151151_aj,golden_boots,0,
field_151152_bP,fireworks,0,
field_151153_ao,golden_apple,0,
field_151154_bQ,firework_charge,0,
field_151155_ap,sign,0,
field_151156_bN,nether_star,0,
field_151157_am,cooked_porkchop,0,
